City,Province,Latitude...3,Longitude...4,full_address,Latitude...6,Longitude...7
City:,Province:,Latitude:,Longitude,"City:, Province:, Canada",50.0021397,-110.6492428
Aberarder,Ontario,NA,NA,"Aberarder, Ontario, Canada",43.0532156,-82.0935836
Abitibi Canyon,Ontario,NA,NA,"Abitibi Canyon, Ontario, Canada",49.8790544,-81.5713886
Acton,Ontario,NA,NA,"Acton, Ontario, Canada",43.6340679,-80.0351117
Adolphustown,Ontario,NA,NA,"Adolphustown, Ontario, Canada",44.0637139,-77.0065443
Advocate Harbour,Nova Scotia,NA,NA,"Advocate Harbour, Nova Scotia, Canada",45.3332659,-64.7773758
Ailsa Craig,Ontario,NA,NA,"Ailsa Craig, Ontario, Canada",43.1471072,-81.5336236
Ajax,Ontario,NA,NA,"Ajax, Ontario, Canada",43.8505287,-79.0208814
Alban,Ontario,NA,NA,"Alban, Ontario, Canada",46.1047181,-80.6263041
Albert,New Brunswick,NA,NA,"Albert, New Brunswick, Canada",45.7825181,-64.8798468
Albert Mines,New Brunswick,NA,NA,"Albert Mines, New Brunswick, Canada",45.8718348,-64.6828507
Alberton,Prince Edward Island,NA,NA,"Alberton, Prince Edward Island, Canada",46.8127482,-64.0649989
Alderville First Nation,Ontario,NA,NA,"Alderville First Nation, Ontario, Canada",44.1775691,-78.0762095
Alexandria,Ontario,NA,NA,"Alexandria, Ontario, Canada",45.3179423,-74.6397639
Alfred,Ontario,NA,NA,"Alfred, Ontario, Canada",45.5579611,-74.8825971
Algoma Mills,Ontario,NA,NA,"Algoma Mills, Ontario, Canada",46.1861188,-82.8196518
Allardville,New Brunswick,NA,NA,"Allardville, New Brunswick, Canada",47.4239305,-65.4751551
Alliston,Ontario,NA,NA,"Alliston, Ontario, Canada",44.1539369,-79.8692321
Alma,New Brunswick,NA,NA,"Alma, New Brunswick, Canada",45.6030519,-64.9438288
Almonte,Ontario,NA,NA,"Almonte, Ontario, Canada",45.226049,-76.1945277
Alvinston,Ontario,NA,NA,"Alvinston, Ontario, Canada",42.8208904,-81.8696455
Amherst,Nova Scotia,NA,NA,"Amherst, Nova Scotia, Canada",45.8192941,-64.2333504
Amherstburg,Ontario,NA,NA,"Amherstburg, Ontario, Canada",42.1013313,-83.1086544
Ancaster,Ontario,NA,NA,"Ancaster, Ontario, Canada",43.225693,-79.976692
Angus,Ontario,NA,NA,"Angus, Ontario, Canada",44.3247413,-79.8882346
Annapolis Royal,Nova Scotia,NA,NA,"Annapolis Royal, Nova Scotia, Canada",44.7419775,-65.5160971
Antigonish,Nova Scotia,NA,NA,"Antigonish, Nova Scotia, Canada",45.6213607,-61.9904928
