Title,Team / Org,Location,Distance (km),Distance (mi),Job Type,Posted,URL
Sr. Financial Analyst,Detroit Tigers,"Manager Detroit, US",324 km,201 mi,,1 month ago,https://www.teamworkonline.com/multiple-properties/ilitch-sports/detroit-tigers/sr-financial-analyst-2166847
Cloud Data Engineer,Detroit Tigers,"Senior Detroit, US",324 km,201 mi,,2 months ago,https://www.teamworkonline.com/multiple-properties/ilitch-sports/detroit-tigers/cloud-data-engineer-2163080
CRM Analyst,Baltimore Orioles,"Entry Level Baltimore, MD",483 km,300 mi,Entry Level,1 week ago,https://www.teamworkonline.com/baseball-jobs/orioles-jobs/baltimore-orioles-jobs/crm-analyst-2170744
IT Security Analyst,Baltimore Orioles,"Manager Baltimore, MD",483 km,300 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/orioles-jobs/baltimore-orioles-jobs/it-security-analyst-2169873
IT Systems Engineer,Baltimore Orioles,"Manager Baltimore, MD",483 km,300 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/orioles-jobs/baltimore-orioles-jobs/it-systems-engineer-2169871
"Manager, Business Strategy",Baltimore Orioles,"Manager Baltimore, MD",483 km,300 mi,,,https://www.teamworkonline.com/baseball-jobs/orioles-jobs/baltimore-orioles-jobs/manager-business-strategy-2142536
Ticket Associate - Service,Philadelphia Phillies,"Intern Philadelphia, PA",492 km,306 mi,Intern,6 days ago,https://www.teamworkonline.com/baseball-jobs/philadelphia-phillies/philadelphia-phillies/ticket-associate-service-2171213
"Attraction Manager, All-Star Village",Philadelphia Phillies,"Part Time Philadelphia, PA",492 km,306 mi,Part Time,1 week ago,https://www.teamworkonline.com/baseball-jobs/philadelphia-phillies/philadelphia-phillies/attraction-manager-all-star-village-2170466
"Promotions And Fan Engagement Associate (Part Time, Limited Term)",Washington Nationals,"Part Time Washington, DC",508 km,316 mi,Part Time,1 week ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/promotions-and-fan-engagement-associate-part-time-limited-term-2170820
"Senior Manager, Business Intelligence Data Engineering",Washington Nationals,"Director Washington, DC",508 km,316 mi,,1 week ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/senior-manager-business-intelligence-data-engineering-2170171
"Manager, Premium Service",Washington Nationals,"Manager Washington, DC",508 km,316 mi,,1 week ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/manager-premium-service-2170173
"Specialist, Communications (Full Time, Limited Term)",Washington Nationals,"Entry Level Washington, DC",508 km,316 mi,Entry Level,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/specialist-communications-full-time-limited-term-2170082
"Analyst, Technical Service",Washington Nationals,"Manager Washington, DC",508 km,316 mi,,3 weeks ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/analyst-technical-service-2168192
"Senior Director, Business Strategy & Analytics",Washington Nationals,"Senior Washington, DC",508 km,316 mi,,1 month ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/senior-director-business-strategy-analytics-2165671
Academy Classroom Coordinator (Part Time),Washington Nationals,"Part Time Washington, DC",508 km,316 mi,Part Time,2 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/academy-classroom-coordinator-part-time-2162424
"Director, Development and Fundraising",Washington Nationals,"Director Washington, DC",508 km,316 mi,,2 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/director-development-and-fundraising-2160188
"Assistant Manager, Ticket Office",Washington Nationals,"Manager Washington, DC",508 km,316 mi,,2 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/assistant-manager-ticket-office-2159441
"Director, Partnership Solutions",Washington Nationals,"Director Washington, DC",508 km,316 mi,,3 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/director-partnership-solutions-2159133
"Specialist, Event Operations",Washington Nationals,"Entry Level Washington, DC",508 km,316 mi,Entry Level,3 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/specialist-event-operations-2159128
Public Safety & Security Associate (Limited Term),Washington Nationals,"Intern Washington, DC",508 km,316 mi,Intern,3 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/public-safety-security-associate-limited-term-2159114
"Director, Corporate Partnership Sales",Washington Nationals,"Director Washington, DC",508 km,316 mi,,3 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/director-corporate-partnership-sales-2159113
"Manager, Group Hospitality & Logistics",Washington Nationals,"Manager Washington, DC",508 km,316 mi,,3 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/manager-group-hospitality-logistics-2159111
Premium Sales Manager,Washington Nationals,"Manager Washington, DC",508 km,316 mi,,3 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/premium-sales-manager-2159109
2026 YBA Summer League Site Coordinator (Part Time Limited Term),Washington Nationals,"Part Time Washington, DC",508 km,316 mi,Part Time,3 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/2026-yba-summer-league-site-coordinator-part-time-limited-term-2159098
"Director, Premium Sales & Service",Washington Nationals,"Director Washington, DC",508 km,316 mi,,3 months ago,https://www.teamworkonline.com/baseball-jobs/washington-nationals/washington-nationals/director-premium-sales-service-2159089
Seasonal Video Content Specialist,Cincinnati Reds,"Part Time Cincinnati, OH",631 km,392 mi,Part Time,1 week ago,https://www.teamworkonline.com/baseball-jobs/cincinnati-reds/cincinnati-reds/seasonal-video-content-specialist-2170118
Access Coordinator,Cincinnati Reds,"Part Time Cincinnati, OH",631 km,392 mi,Part Time,,https://www.teamworkonline.com/baseball-jobs/cincinnati-reds/cincinnati-reds/access-coordinator-2147275
Stadium Operations Coordinator,MiLB,"Entry Level Richmond, VA",643 km,400 mi,Entry Level,1 week ago,https://www.teamworkonline.com/baseball-jobs/easternleague/richmond-flying-squirrels/stadium-operations-coordinator-2171094
"Manager, Strategy & Portfolio Operations",Boston Red Sox,"Manager Boston, MA",674 km,419 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/fenwaysports/boston-red-sox/manager-strategy-portfolio-operations-2169724
"Director, Marketing",Boston Red Sox,"Director Boston, MA",674 km,419 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/fenwaysports/boston-red-sox/director-marketing-2169723
Junior Sales Associate - July 2026,Boston Red Sox,"Entry Level Boston, MA",674 km,419 mi,Entry Level,1 month ago,https://www.teamworkonline.com/baseball-jobs/fenwaysports/boston-red-sox/junior-sales-associate-july-2026-2165822
Director of Communications,MiLB,"Director Indianapolis, IN",688 km,427 mi,,1 day ago,https://www.teamworkonline.com/baseball-jobs/internationalleague/indianapolis-indians/director-of-communications-2171977
Director – Premium Club Sales,Milwaukee Brewers,"Director Milwaukee, WI",703 km,437 mi,,1 month ago,https://www.teamworkonline.com/baseball-jobs/milwaukeebaseball/milwaukee-brewers/director-premium-club-sales-2165430
Assistant Store Manager,Milwaukee Brewers,"Manager Milwaukee, WI",703 km,437 mi,,,https://www.teamworkonline.com/baseball-jobs/milwaukeebaseball/milwaukee-brewers/assistant-store-manager-2157541
"Intern, Baseball Systems & Analytics",USA Baseball,"Intern Cary, NC",820 km,510 mi,Intern,,https://www.teamworkonline.com/baseball-jobs/baseballjobs/usa-baseball/intern-baseball-systems-analytics-2140945
Team Store Associate (Arizona),USA Baseball,"Part Time Peoria, AZ",898 km,558 mi,Part Time,1 month ago,https://www.teamworkonline.com/baseball-jobs/baseballjobs/usa-baseball/team-store-associate-arizona-2157547
Creative Services Manager,MiLB,"Manager Chattanooga, TN",1042 km,648 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/southernleague/chattanooga-lookouts-jobs/creative-services-manager-2170095
"Digital Marketing Manager, The Battery Atlanta",Atlanta Braves,"Manager Atlanta, US",1138 km,707 mi,,1 month ago,https://www.teamworkonline.com/baseball-jobs/atlanta-braves/atlanta-braves-jobs/digital-marketing-manager-the-battery-atlanta-2165518
Merchandising Associate,Atlanta Braves,"Part Time Atlanta, US",1138 km,707 mi,Part Time,,https://www.teamworkonline.com/baseball-jobs/atlanta-braves/atlanta-braves-jobs/merchandising-associate-2152211
Coordinator - Events & Activations,Kansas City Royals,"Level Kansas City, MO",1359 km,844 mi,Entry Level,1 week ago,https://www.teamworkonline.com/baseball-jobs/kansas-city-royals-jobs/kansas-city-royals/coordinator-events-activations-2170662
Coordinator - Ticket Operations,Kansas City Royals,"Level Kansas City, MO",1359 km,844 mi,Entry Level,3 weeks ago,https://www.teamworkonline.com/baseball-jobs/kansas-city-royals-jobs/kansas-city-royals/coordinator-ticket-operations-2168003
Manager- Facilities and Operations - Urban Youth Academy,Kansas City Royals,"Manager Kansas City, MO",1359 km,844 mi,,1 month ago,https://www.teamworkonline.com/baseball-jobs/kansas-city-royals-jobs/kansas-city-royals/manager-facilities-and-operations-urban-youth-academy-2164787
Assistant General Manager,MiLB,"Director Jacksonville, FL",1541 km,958 mi,,1 week ago,https://www.teamworkonline.com/baseball-jobs/internationalleague/jacksonville-jumbo-shrimp/assistant-general-manager-2170189
"Coordinator, Facilities and Vendor (Contract Role)",Toronto Blue Jays,"Entry Level Dunedin, FL",1713 km,1064 mi,Entry Level,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/toronto-blue-jays-jobs/toronto-blue-jays/coordinator-facilities-and-vendor-contract-role-2169308
International Scouting Analyst,New York Yankees,"Entry Level Tampa, FL",1716 km,1066 mi,Entry Level,1 week ago,https://www.teamworkonline.com/baseball-jobs/new-york-yankees/new-york-yankees/international-scouting-analyst-2170387
"Senior Coordinator, Facilities Operations",Baltimore Orioles,"Entry Level Sarasota, FL",1784 km,1109 mi,Entry Level,1 week ago,https://www.teamworkonline.com/baseball-jobs/orioles-jobs/baltimore-orioles-jobs/senior-coordinator-facilities-operations-2171078
2026-2027 JetBlue Park Ballpark Operations Associate,Boston Red Sox,"Time Fort Myers, FL",1852 km,1151 mi,Part Time,1 week ago,https://www.teamworkonline.com/baseball-jobs/fenwaysports/boston-red-sox/2026-2027-jetblue-park-ballpark-operations-associate-2171153
2026-2027 JetBlue Park Corporate Partnerships Associate,Boston Red Sox,"Time Fort Myers, FL",1852 km,1151 mi,Part Time,1 week ago,https://www.teamworkonline.com/baseball-jobs/fenwaysports/boston-red-sox/2026-2027-jetblue-park-corporate-partnerships-associate-2171150
AI Workflow & Automation Specialist,Miami Marlins,"Manager Miami, FL",1936 km,1203 mi,,,https://www.teamworkonline.com/baseball-jobs/miamibaseball/miami-marlins/ai-workflow-automation-specialist-2172115
Senior DevOps Engineer,Miami Marlins,"Manager Miami, FL",1936 km,1203 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/miamibaseball/miami-marlins/senior-devops-engineer-2169890
Marlins Youth Academy Baseball & Softball Seasonal Coach,Miami Marlins,"Part Time Miami, FL",1936 km,1203 mi,Part Time,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/miamibaseball/miami-marlins/marlins-youth-academy-baseball-softball-seasonal-coach-2169213
"Coordinator, Benefits",Miami Marlins,"Manager Miami, FL",1936 km,1203 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/miamibaseball/miami-marlins/coordinator-benefits-2169065
"Manager, CRM & Insights",Miami Marlins,"Manager Miami, FL",1936 km,1203 mi,,1 month ago,https://www.teamworkonline.com/baseball-jobs/miamibaseball/miami-marlins/manager-crm-insights-2167789
Security Operations Manager,Texas Rangers,"Manager Arlington, US",1942 km,1206 mi,,,https://www.teamworkonline.com/baseball-jobs/texasbaseball/texas-rangers/security-operations-manager-2172044
Desktop Support Intern,Texas Rangers,"Intern Arlington, US",1942 km,1206 mi,Intern,1 week ago,https://www.teamworkonline.com/baseball-jobs/texasbaseball/texas-rangers/desktop-support-intern-2170288
Part-Time Authentics Associate,Texas Rangers,"Part Time Arlington, US",1942 km,1206 mi,Part Time,,https://www.teamworkonline.com/baseball-jobs/texasbaseball/texas-rangers/part-time-authentics-associate-2144740
Baseball Analytics Associate,Colorado Rockies,"Intern Denver, CO",2170 km,1348 mi,Intern,1 week ago,https://www.teamworkonline.com/baseball-jobs/colorado-rockies/colorado-rockies-jobs/baseball-analytics-associate-2171144
Baseball Analytics Fellow,Colorado Rockies,"Entry Level Denver, CO",2170 km,1348 mi,Entry Level,1 week ago,https://www.teamworkonline.com/baseball-jobs/colorado-rockies/colorado-rockies-jobs/baseball-analytics-fellow-2171142
"Manager, Major League Operations",Colorado Rockies,"Manager Denver, CO",2170 km,1348 mi,,1 week ago,https://www.teamworkonline.com/baseball-jobs/colorado-rockies/colorado-rockies-jobs/manager-major-league-operations-2170823
"Part Time - Softball Pitching Coach — Scottsdale, AZ",MLB (Commissioner's Office),"Part Time Scottsdale, AZ",3023 km,1879 mi,Part Time,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/baseballjobs/driveline-baseball-jobs/part-time-softball-pitching-coach-scottsdale-az-2170004
"Full Time - Softball Pitching Coach — Scottsdale, AZ",MLB (Commissioner's Office),"Entry Level Scottsdale, AZ",3023 km,1879 mi,Entry Level,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/baseballjobs/driveline-baseball-jobs/full-time-softball-pitching-coach-scottsdale-az-2170003
Performance Science Analyst,Kansas City Royals,"Entry Level Surprise, AZ",3051 km,1896 mi,Entry Level,1 month ago,https://www.teamworkonline.com/baseball-jobs/kansas-city-royals-jobs/kansas-city-royals/performance-science-analyst-2167282
"Manager, Corporate Communications & Publicity",Oakland Athletics,"Manager Las Vegas, NV",3143 km,1953 mi,,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/athletics-jobs/athletics-jobs/manager-corporate-communications-publicity-2169106
"Director, Brand",Oakland Athletics,"Director Las Vegas, NV",3143 km,1953 mi,,3 weeks ago,https://www.teamworkonline.com/baseball-jobs/athletics-jobs/athletics-jobs/director-brand-2168148
"Angels Broadcast Television (ABTV West, LLC)- Full Time Finance Manager",Los Angeles Angels,"Manager Anaheim, CA",3486 km,2166 mi,Full Time,1 week ago,https://www.teamworkonline.com/baseball-jobs/los-angeles-angels-jobs/los-angeles-angels/angels-broadcast-television-abtv-west-llc-full-time-finance-manager-2171014
Los Angeles Angels- 2026 Information Systems Internship,Los Angeles Angels,"Intern Anaheim, CA",3486 km,2166 mi,Intern,2 weeks ago,https://www.teamworkonline.com/baseball-jobs/los-angeles-angels-jobs/los-angeles-angels/los-angeles-angels-2026-information-systems-internship-2169219
"Specialist, Payroll",Los Angeles Dodgers,"Manager Los Angeles, CA",3502 km,2176 mi,,,https://www.teamworkonline.com/baseball-jobs/los-angeles-dodgers-jobs/los-angeles-dodgers/specialist-payroll-2172103
