.state,run_expectancy,state_pa
0|000,0.786641929499072,1078
0|001,1.66666666666667,15
0|010,1.37719298245614,114
0|011,2.90909090909091,22
0|100,1.35793357933579,271
0|101,2.03846153846154,26
0|110,1.98823529411765,85
0|111,3.08333333333333,36
1|000,0.424076607387141,731
1|001,1,71
1|010,0.9625,160
1|011,1.86792452830189,53
1|100,0.75,312
1|101,1.64705882352941,51
1|110,1.17910447761194,134
1|111,1.8,55
2|000,0.136861313868613,548
2|001,0.378048780487805,82
2|010,0.425925925925926,216
2|011,0.805555555555556,72
2|100,0.319702602230483,269
2|101,0.794520547945205,73
2|110,0.680722891566265,166
2|111,1.34090909090909,88
