Batter,Team,PA,AB,BB,IBB,HBP,1B,2B,3B,HR,SF,SH,wOBA,Park_Factor,wRC_plus
Braedan Pakkala,Barrie Baycats,1,0,1,0,0,0,0,0,0,0,0,0.691,90.2,268
Trevor Nicoll,Hamilton Cardinals,15,11,3,0,0,6,0,0,1,0,1,0.672,74.7,266
Gleyvin Pineda,Guelph Royals,2,2,0,0,0,0,1,0,0,0,0,0.626,79.1,241
Ryan Potrecz,Welland Jackfish,2,2,0,0,0,0,1,0,0,0,0,0.626,99.3,231
Dario Borrero,Hamilton Cardinals,11,9,1,0,1,1,0,0,2,0,0,0.579,74.7,220
Cristian Inoa,London Majors,86,76,8,0,2,18,1,0,8,0,0,0.47,71.5,166
Austin Gurney,Chatham-Kent Barnstormers,116,105,8,0,3,23,8,2,8,0,0,0.495,106.9,161
Malik Williams,Kitchener Panthers,99,90,8,0,1,26,5,0,8,0,0,0.523,135.1,161
Trent Lenihan,London Majors,133,116,11,0,3,24,6,1,10,2,1,0.458,71.5,160
Ethan Mann,Welland Jackfish,128,112,12,0,1,32,8,0,7,3,0,0.481,99.3,158
Yasiel Puig,Toronto Maple Leafs,108,87,16,3,3,18,4,1,10,2,0,0.514,134.7,157
Yushin Ohta,Chatham-Kent Barnstormers,110,91,15,1,3,12,8,0,10,1,0,0.484,106.9,156
Wandy Ciprian,Barrie Baycats,76,73,3,0,0,19,4,2,4,0,0,0.463,90.2,153
Victor Mascai,Guelph Royals,97,85,10,1,0,18,9,1,4,2,0,0.449,79.1,152
Evan Magill,Hamilton Cardinals,106,90,12,0,1,17,6,0,7,1,2,0.44,74.7,149
Garrett Takamatsu,Guelph Royals,108,90,17,4,1,26,3,1,4,0,0,0.444,79.1,149
Maikol Escotto,London Majors,143,133,7,0,0,34,8,0,8,3,0,0.428,71.5,145
Franklin Torres,Guelph Royals,15,10,3,0,0,5,0,0,0,2,0,0.432,79.1,143
Christian Ortega,Brantford Red Sox,101,95,3,0,2,22,7,0,7,1,0,0.455,107.6,140
Noel McGarry-Doyle,Barrie Baycats,92,82,7,0,2,27,6,0,1,0,1,0.436,90.2,139
Greg Marco,Welland Jackfish,2,2,0,0,0,1,0,0,0,0,0,0.441,99.3,138
Noah Hull,Barrie Baycats,64,55,6,0,2,12,1,0,5,1,0,0.431,90.2,137
Tucker Zdunich,London Majors,134,114,11,1,6,24,6,0,7,2,1,0.41,71.5,136
Clayton Keyes,Barrie Baycats,65,53,7,0,5,13,3,0,2,0,0,0.427,90.2,135
James Smibert,Welland Jackfish,103,81,17,0,2,25,3,1,2,3,0,0.434,99.3,134
Nick Iannantone,Brantford Red Sox,91,74,17,1,0,19,6,0,2,0,0,0.438,107.6,132
Antony Gilbert,Guelph Royals,96,91,4,1,1,24,7,0,3,0,0,0.409,79.1,131
Jaden Brown,Hamilton Cardinals,73,67,5,0,0,15,2,0,5,1,0,0.402,74.7,130
Eduardo De Oleo,London Majors,116,106,7,0,3,29,6,0,3,0,0,0.398,71.5,130
Canice Ejoh,Barrie Baycats,113,104,6,0,2,22,3,0,9,1,0,0.417,90.2,130
Carlos Dominguez,Hamilton Cardinals,110,93,8,0,5,22,4,0,5,3,1,0.401,74.7,130
Tim Holyk,Brantford Red Sox,86,73,8,0,4,21,5,0,2,1,0,0.433,107.6,130
Andrew Savage,Brantford Red Sox,81,69,5,0,6,14,5,0,4,0,1,0.432,107.6,129
Jaden  Babiuk,London Majors,5,3,1,0,0,1,0,0,0,0,1,0.393,71.5,127
Tyler Plumpton,Barrie Baycats,13,13,0,0,0,6,0,0,0,0,0,0.407,90.2,125
Brendan Luther,Welland Jackfish,106,89,7,0,7,26,2,0,4,2,1,0.414,99.3,124
Nolan Machibroda,Barrie Baycats,104,92,11,1,1,20,5,0,5,0,0,0.405,90.2,124
Angel Guerrero,Hamilton Cardinals,89,82,4,0,2,19,1,0,6,1,0,0.387,74.7,123
Jonah Weisner,Welland Jackfish,142,125,12,0,1,34,12,1,1,3,0,0.409,99.3,121
Brandon Nicoll,Hamilton Cardinals,112,98,9,1,1,24,8,0,2,1,3,0.384,74.7,121
Darlin German,Hamilton Cardinals,113,107,0,0,1,23,8,0,6,5,0,0.383,74.7,120
Reyny Reyes,Hamilton Cardinals,101,91,7,0,1,23,3,0,4,0,2,0.381,74.7,120
Starling Joseph,London Majors,124,104,16,0,2,24,2,0,5,2,0,0.374,71.5,118
Daiki Abe,Welland Jackfish,132,103,24,0,1,32,4,1,0,2,2,0.401,99.3,117
Jarrett Burney,London Majors,121,102,14,0,2,27,3,1,2,1,2,0.373,71.5,117
Adam Thuss,London Majors,38,33,3,0,0,3,2,0,3,0,2,0.37,71.5,116
Francisco Hernandez,Barrie Baycats,103,82,16,0,3,14,3,0,5,1,1,0.387,90.2,115
Justin Gideon,Welland Jackfish,136,110,16,0,5,19,8,1,5,4,0,0.394,99.3,114
Tyler Duncan,Hamilton Cardinals,124,105,15,0,2,26,5,0,2,0,2,0.369,74.7,114
Anderson Feliz,Hamilton Cardinals,72,60,9,0,0,10,4,0,3,2,1,0.368,74.7,113
Adam Odd,Barrie Baycats,67,64,3,0,0,9,6,0,4,0,0,0.383,90.2,113
J.D. Williams,Guelph Royals,42,36,5,0,1,10,2,0,0,0,0,0.369,79.1,111
Gianfranco Morello,Welland Jackfish,95,75,12,0,8,16,7,0,0,0,0,0.389,99.3,111
Mateo Zeppieri,Kitchener Panthers,119,87,26,0,6,10,3,2,6,0,0,0.422,135.1,110
Xavier Whittle,London Majors,42,37,5,0,0,8,2,0,1,0,0,0.358,71.5,110
Conner Morro,Guelph Royals,29,27,1,1,1,7,1,0,1,0,0,0.364,79.1,109
Owen Constantineau,Chatham-Kent Barnstormers,96,83,12,0,0,14,7,0,4,1,0,0.391,106.9,109
Francisco Martinez,Brantford Red Sox,15,11,3,0,0,2,0,0,1,1,0,0.392,107.6,108
Iyad Ansari,Chatham-Kent Barnstormers,32,30,1,0,1,6,3,0,1,0,0,0.391,106.9,108
Brody Black,Brantford Red Sox,107,88,17,1,2,15,3,1,5,0,0,0.389,107.6,107
Brando Leroux,Toronto Maple Leafs,79,72,4,0,3,13,5,0,5,0,0,0.416,134.7,107
Miguel Hiraldo,Guelph Royals,124,115,4,0,1,21,8,0,6,4,0,0.357,79.1,105
Hayden Jaco,Barrie Baycats,21,19,2,0,0,2,2,0,1,0,0,0.366,90.2,104
Thomas Green,Chatham-Kent Barnstormers,94,84,9,0,0,22,3,0,3,1,0,0.378,106.9,102
Brandon Hupe,Welland Jackfish,87,74,8,0,5,15,2,2,2,0,0,0.369,99.3,101
Brandon Hernandez,Barrie Baycats,84,76,6,0,0,21,4,0,1,1,1,0.358,90.2,100
Trent Lawson,Kitchener Panthers,48,43,2,0,3,8,2,0,3,0,0,0.4,135.1,99
Evan Morrison,Chatham-Kent Barnstormers,95,84,10,1,1,19,9,0,0,0,0,0.372,106.9,99
Greyson Barrett,Chatham-Kent Barnstormers,120,108,6,1,3,20,5,0,7,3,0,0.368,106.9,97
Roberto Caro,London Majors,16,14,2,0,0,3,1,0,0,0,0,0.33,71.5,95
Robert Mullen,Welland Jackfish,127,99,14,2,11,20,2,0,4,3,0,0.356,99.3,95
David Draayers,London Majors,84,75,6,0,2,10,4,1,3,0,1,0.327,71.5,94
Ryan Dos Santos,Guelph Royals,113,90,20,0,2,17,4,0,1,0,1,0.333,79.1,93
Deivis Nadal,Guelph Royals,106,90,10,2,4,17,3,0,3,0,2,0.326,79.1,90
Rafael Gross,Kitchener Panthers,105,91,8,0,5,15,5,2,4,1,0,0.38,135.1,89
Ryan Rijo,Barrie Baycats,76,68,6,0,2,10,4,0,3,0,0,0.336,90.2,89
Carson Johnson,Welland Jackfish,47,37,7,0,1,6,4,0,0,1,1,0.345,99.3,89
Jakob Cantor,Brantford Red Sox,112,90,13,0,8,19,3,0,2,1,0,0.351,107.6,88
Ashton Patterson,Guelph Royals,88,69,12,0,6,16,1,0,0,0,1,0.322,79.1,87
Dennis Dei Baning,Toronto Maple Leafs,93,80,9,1,4,16,3,0,4,0,0,0.374,134.7,86
Christian Kuzemka,Brantford Red Sox,38,35,2,0,1,4,6,0,0,0,0,0.346,107.6,85
Tanner Rempel,Hamilton Cardinals,43,35,4,0,3,7,0,0,1,0,1,0.313,74.7,85
Petey Kiefer,Kitchener Panthers,127,104,12,0,10,17,5,0,5,0,1,0.373,135.1,85
Julien Monks,Chatham-Kent Barnstormers,109,98,9,0,2,28,4,0,0,0,0,0.343,106.9,84
