Batter,Team,PA,AB,BB,IBB,HBP,1B,2B,3B,HR,SF,SacB,wOBA,Park_Factor,wRC_plus
Adam Odd,Barrie Baycats,74,71,3,0,0,11,6,0,4,0,0,0.36,80.3,102
Braedan Pakkala,Barrie Baycats,1,0,1,0,0,0,0,0,0,0,0,0.806,80.3,352
Brandon Hernandez,Barrie Baycats,95,86,7,0,0,22,4,0,1,1,1,0.351,80.3,97
Brendon Daley,Barrie Baycats,31,28,3,0,0,5,1,1,1,0,0,0.372,80.3,108
Canice Ejoh,Barrie Baycats,129,119,7,0,2,26,3,0,9,1,0,0.391,80.3,119
Carson Barker,Barrie Baycats,35,31,3,0,0,2,1,0,2,1,0,0.252,80.3,41
Clayton Keyes,Barrie Baycats,76,61,10,0,5,15,3,0,2,0,0,0.44,80.3,147
Edgar Figueroa,Barrie Baycats,85,73,11,0,0,13,0,0,3,1,0,0.308,80.3,73
Francisco Hernandez,Barrie Baycats,118,96,17,0,3,17,3,0,6,1,1,0.392,80.3,120
Hayden Jaco,Barrie Baycats,21,19,2,0,0,2,2,0,1,0,0,0.36,80.3,102
Justin Groves,Barrie Baycats,1,1,0,0,0,0,0,0,0,0,0,0,80.3,-100
Kristyan Puyol-Genossar,Barrie Baycats,24,19,3,0,0,2,1,0,0,1,1,0.24,80.3,34
Noah Hull,Barrie Baycats,78,67,8,0,2,13,1,0,5,1,0,0.384,80.3,115
Noel McGarry Doyle,Barrie Baycats,100,88,8,0,2,29,6,0,1,0,2,0.454,80.3,155
Nolan Machibroda,Barrie Baycats,117,105,11,1,1,22,5,0,6,0,0,0.394,80.3,121
Ryan Rijo,Barrie Baycats,87,77,8,0,2,12,5,0,3,0,0,0.35,80.3,96
Tyler Plumpton,Barrie Baycats,13,13,0,0,0,6,0,0,0,0,0,0.439,80.3,146
Wandy Ciprian,Barrie Baycats,92,88,4,0,0,20,4,2,5,0,0,0.416,80.3,133
AJ Karosas,Brantford Red Sox,24,24,0,0,0,2,1,0,0,0,0,0.129,79.1,-27
Andrew Savage,Brantford Red Sox,90,76,7,0,6,14,6,0,5,0,1,0.443,79.1,149
Brody Black,Brantford Red Sox,124,104,18,1,2,17,3,1,7,0,0,0.392,79.1,120
Cassidy Watt,Brantford Red Sox,109,101,4,0,3,21,3,0,2,0,1,0.302,79.1,70
Charlie Towers,Brantford Red Sox,46,40,6,0,0,7,1,1,0,0,0,0.309,157,35
Christian Kuzemka,Brantford Red Sox,49,46,2,0,1,6,6,0,0,0,0,0.313,79.1,76
Christian Ortega,Brantford Red Sox,118,111,4,0,2,26,8,0,8,1,0,0.444,79.1,150
Ethan Paulos,Brantford Red Sox,24,19,4,0,0,2,0,0,0,0,1,0.223,79.1,25
Francisco Martinez,Brantford Red Sox,15,11,3,0,0,2,0,0,1,1,0,0.398,79.1,124
Jakob Cantor,Brantford Red Sox,129,106,14,0,8,24,3,0,3,1,0,0.383,79.1,115
Lucas Bateman,Brantford Red Sox,82,72,8,0,1,16,4,0,1,0,1,0.357,79.1,101
Lucas Lefebvre,Brantford Red Sox,37,35,1,0,0,3,1,0,0,0,1,0.135,79.1,-24
Nick Iannantone,Brantford Red Sox,105,87,18,1,0,22,6,0,2,0,0,0.434,79.1,144
Tim Holyk,Brantford Red Sox,103,88,8,0,6,24,6,0,2,1,0,0.435,79.1,144
Walker Hultgren,Brantford Red Sox,78,76,1,0,1,14,4,0,1,0,0,0.274,79.1,54
Andy Groening,Chatham-Kent Barnstormers,78,68,8,0,0,8,1,0,1,0,2,0.222,97.8,16
Austin Gurney,Chatham-Kent Barnstormers,130,117,10,0,3,29,8,2,8,0,0,0.492,97.8,167
Brain Parry,Chatham-Kent Barnstormers,5,3,2,0,0,1,0,0,0,0,0,0.512,97.8,178
Brian Parry,Chatham-Kent Barnstormers,20,17,3,0,0,3,0,0,0,0,0,0.263,97.8,39
Carter Claerhout,Chatham-Kent Barnstormers,15,14,1,1,0,2,1,0,1,0,0,0.339,97.8,81
Catalin Morin,Chatham-Kent Barnstormers,1,0,0,0,0,0,0,0,0,0,1,,97.8,
Evan Morrison,Chatham-Kent Barnstormers,99,88,10,1,1,19,9,0,0,0,0,0.377,97.8,103
Iyad Ansari,Chatham-Kent Barnstormers,50,47,2,0,1,12,4,0,1,0,0,0.406,97.8,119
Jayden Valle,Chatham-Kent Barnstormers,2,2,0,0,0,0,0,0,0,0,0,0,97.8,-109
Julien Monks,Chatham-Kent Barnstormers,123,110,10,0,3,30,4,0,0,0,0,0.357,97.8,91
Kian Johnston,Chatham-Kent Barnstormers,51,46,5,0,0,5,0,0,3,0,0,0.269,97.8,42
Lee Kucera,Chatham-Kent Barnstormers,66,62,3,0,0,10,1,0,1,0,1,0.227,97.8,18
Mitsuki Fukuda,Chatham-Kent Barnstormers,41,33,7,0,1,8,1,0,0,0,0,0.373,97.8,100
Owen Constantineau,Chatham-Kent Barnstormers,123,108,14,0,0,17,8,0,4,1,0,0.355,97.8,90
Robert Mackie,Chatham-Kent Barnstormers,50,42,5,0,3,6,0,0,0,0,0,0.245,97.8,28
Spencer Morin,Chatham-Kent Barnstormers,96,76,13,0,6,10,2,1,0,0,1,0.305,97.8,62
Thomas Green,Chatham-Kent Barnstormers,94,84,9,0,0,22,3,0,3,1,0,0.39,97.8,110
Thomas Richards,Chatham-Kent Barnstormers,9,7,2,0,0,3,0,0,0,0,0,0.496,97.8,169
Yushin Ohta,Chatham-Kent Barnstormers,134,109,20,1,3,16,9,0,12,2,0,0.478,97.8,159
Andy Leader,Guelph Royals,90,78,9,0,2,14,5,0,1,1,0,0.332,75,89
Antony Gilbert,Guelph Royals,129,121,7,1,1,32,8,0,4,0,0,0.408,75,131
Ashton Patterson,Guelph Royals,105,84,13,0,7,18,1,0,1,0,1,0.349,75,98
Carson Burns,Guelph Royals,17,14,3,0,0,2,0,0,0,0,0,0.254,75,45
Claudio Custodio,Guelph Royals,2,2,0,0,0,0,0,0,0,0,0,0,75,-98
Conner Morro,Guelph Royals,33,31,1,1,1,8,1,0,1,0,0,0.353,75,100
Damon Topolie,Guelph Royals,6,5,1,0,0,1,0,0,0,0,0,0.293,75,67
Deivis Nadal,Guelph Royals,106,90,10,2,4,17,3,0,3,0,2,0.338,75,92
Drew Donaldson,Guelph Royals,21,18,3,0,0,3,0,0,0,0,0,0.251,75,43
Franklin Torres,Guelph Royals,29,22,5,0,0,7,0,0,0,2,0,0.368,75,109
Garrett Takamatsu,Guelph Royals,126,108,17,4,1,32,3,1,4,0,0,0.438,75,148
Gleyvin Pineda,Guelph Royals,2,2,0,0,0,0,1,0,0,0,0,0.599,75,239
