Player,Season,Team,P,Height,Weight,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SF,SH,SB,CS,DP,E,OPS,SLG,OBP,PA,AB/HR,BB/PA,BB/K,SECA,ISOP,RC
"Torres, F",2025,Guelph Royals,IF,,,0.489,11,47,16,23,3,0,3,9,7,1,4,0,0,4,0,1,2,1.309,0.745,0.564,55,15.667,0.127,1.75,0.489,0.255,19.444
"Takamatsu, G",2025,Guelph Royals,IF,6,215,0.336,37,140,23,47,4,1,6,39,12,4,21,5,0,1,0,2,5,0.898,0.507,0.391,161,23.333,0.075,0.571,0.264,0.171,27.559
"Nellis, M",2025,Guelph Royals,IF,,,0.302,19,43,6,13,1,0,0,5,7,0,12,1,0,1,1,1,3,0.718,0.326,0.392,51,0,0.137,0.583,0.186,0.023,5.6
"Wilson, L",2025,Guelph Royals,IF,6.02,215,0.299,28,97,15,29,2,0,3,15,11,12,14,1,0,1,0,1,1,0.842,0.412,0.43,121,32.333,0.091,0.786,0.237,0.113,14.815
"Pina, K",2025,Guelph Royals,C,5.1,175,0.289,10,38,9,11,0,0,2,11,5,3,11,3,0,0,0,2,0,0.835,0.447,0.388,49,19,0.102,0.455,0.289,0.158,6.326
"Bell, N",2025,Guelph Royals,CF,,,0.286,5,7,2,2,0,2,0,4,3,0,0,0,0,3,0,1,0,1.357,0.857,0.5,10,0,0.3,0,1.429,0.571,3
"Williams, J",2025,Guelph Royals,OF,5.11,195,0.276,33,123,16,34,8,0,1,23,16,3,37,3,0,6,1,1,3,0.732,0.366,0.366,145,123,0.11,0.432,0.26,0.089,16.187
"Ward, M",2025,Guelph Royals,C,6.02,200,0.259,36,112,17,29,6,1,3,15,22,1,28,4,0,3,1,2,5,0.785,0.411,0.374,139,37.333,0.158,0.786,0.366,0.152,17.507
"Gallo, J",2025,Guelph Royals,OF,,,0.255,22,55,9,14,1,0,1,8,10,2,10,0,1,0,1,2,2,0.715,0.327,0.388,68,55,0.147,1,0.236,0.073,6.646
"MacLeod, J",2025,Guelph Royals,OF,5.1,215,0.25,6,12,3,3,0,0,0,0,1,0,4,0,0,0,0,0,,0.558,0.25,0.308,13,0,0.077,0.25,0.083,0,0.923
