Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
1,0,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Fastball,Called Strike,,,0,-0.0595726,0.723037711
1,0,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Fastball,Foul,,,0,0.418940281,0.787597752
1,0,0,2,'0-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Offspeed,Ball,,,0,0.799575527,0.413149511
1,0,1,2,'1-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Offspeed,Ball,,,0,0.81045082,0.636957655
1,0,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Yadian Martinez,L,R,Fastball,Single,Line Drive,Opposite Field,0,0.636446136,0.723037711
1,0,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.3,Petey Kiefer,Yadian Martinez,L,R,Fastball,Called Strike,,,100,0.61469555,0.559485605
1,0,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.3,Petey Kiefer,Yadian Martinez,L,R,Fastball,Ball,,,100,0.962704918,0.757469733
1,0,1,1,'1-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.28,Petey Kiefer,Yadian Martinez,L,R,Offspeed,Called Strike,,,100,0.61469555,0.486317558
1,0,1,2,'1-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.37,Petey Kiefer,Yadian Martinez,L,R,Offspeed,Foul,,,100,0.679947307,0.503533569
1,0,1,2,'1-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.38,Petey Kiefer,Yadian Martinez,L,R,Offspeed,Strikeout Swinging,,,100,0.777824942,0.447581533
1,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.33,Mateo Zeppieri,Yadian Martinez,L,R,Fastball,Ball,,,100,0.658196721,0.882285814
1,1,1,0,'1-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.32,Mateo Zeppieri,Yadian Martinez,L,R,Offspeed,Ball,,,100,-0.037822014,0.141997335
1,1,2,0,'2-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.29,Mateo Zeppieri,Yadian Martinez,L,R,Fastball,Called Strike,,,100,0.527693208,0.611133638
1,1,2,1,'2-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.31,Mateo Zeppieri,Yadian Martinez,L,R,Fastball,Called Strike,,,100,0.408064988,0.59822163
1,1,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.38,Mateo Zeppieri,Yadian Martinez,L,R,Offspeed,Ball,,,100,0.821326112,0.890893819
1,1,3,2,'3-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,1.3,Mateo Zeppieri,Yadian Martinez,L,R,Offspeed,Strikeout Swinging,,,100,-0.722965457,0.671389677
1,2,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Yadian Martinez,R,R,Fastball,Called Strike,,,10,,
1,2,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Yadian Martinez,R,R,Fastball,Swinging Strike,,,10,-0.559836066,0.447581533
1,2,0,2,'0-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Yadian Martinez,R,R,Offspeed,Popout,Pop Up,Pull,10,0.179683841,0.59822163
1,0,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matthew Fabian,Owen Macneil,R,R,Fastball,Ball,,,0,0.005679157,0.120477321
1,0,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matthew Fabian,Owen Macneil,R,R,Fastball,Called Strike,,,0,-0.016071429,0.223773388
1,0,1,1,'1-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matthew Fabian,Owen Macneil,R,R,Fastball,Swinging Strike,,,0,0.234060304,0.460493541
1,0,1,2,'1-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matthew Fabian,Owen Macneil,R,R,Offspeed,Foul,,,0,0.49506733,0.658477669
1,0,1,2,'1-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Matthew Fabian,Owen Macneil,R,R,Fastball,Strikeout Swinging,,,0,0.397189696,0.507837572
1,1,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Owen Macneil,R,R,Fastball,Called Strike,,,0,0.310187354,0.292637433
1,1,0,1,'0-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Owen Macneil,R,R,Fastball,Ball,,,0,0.897453162,0.499229566
1,1,1,1,'1-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Marcus Knecht,Owen Macneil,R,R,Offspeed,Single,Ground Ball,Pull,0,-0.505459602,0.301245438
1,1,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,1.41,Yasiel Puig,Owen Macneil,R,R,Fastball,Ball,,,100,-0.005196136,0.925325841
1,1,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,1.43,Yasiel Puig,Owen Macneil,R,R,Fastball,Foul,,,100,0.005679157,0.593917627
1,1,1,1,'1-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,1.37,Yasiel Puig,Owen Macneil,R,R,Fastball,Ball,,,100,0.756074356,0.59822163
1,1,2,1,'2-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,1.3,Yasiel Puig,Owen Macneil,R,R,Fastball,Ball,,,100,0.766949649,0.499229566
1,1,3,1,'3-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,1.41,Yasiel Puig,Owen Macneil,R,R,Fastball,Walk,,,100,0.864827283,0.568093611
1,1,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Owen Macneil,R,R,Offspeed,Ball,,,110,0.288436768,0.120477321
1,1,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Owen Macneil,R,R,Fastball,Swinging Strike,,,110,0.168808548,0.124781324
1,1,1,1,'1-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Owen Macneil,R,R,Offspeed,Swinging Strike,,,110,-0.85346897,0.469101547
1,1,1,2,'1-2,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Dennis Dei Baning,Owen Macneil,R,R,Offspeed,Strikeout Swinging,,,110,-0.005196136,0.309853444
1,2,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Kyle Poapst,Owen Macneil,L,R,Fastball,Ball,,,110,0.864827283,0.809117766
1,2,1,0,'1-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Kyle Poapst,Owen Macneil,L,R,Offspeed,Ball,,,110,0.853951991,0.482013555
1,2,2,0,'2-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Kyle Poapst,Owen Macneil,L,R,Offspeed,Ball,,,110,0.070930913,0.124781324
1,2,3,0,'3-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Kyle Poapst,Owen Macneil,L,R,Fastball,Walk,,,110,0.886577869,0.189341366
1,2,0,0,'0-0,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yordan Manduley,Owen Macneil,R,R,Fastball,Foul,,,111,0.038305035,0.460493541
1,2,0,1,'0-1,2026-05-10,Toronto Maple Leafs,Kitchener Panthers,,Yordan Manduley,Owen Macneil,R,R,Offspeed,Popout,Pop Up,Opposite Field,111,0.070930913,0.533661588
2,0,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yunior Ibarra,Yadian Martinez,R,R,Fastball,Swinging Strike,,,0,-0.625087822,0.645565661
2,0,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yunior Ibarra,Yadian Martinez,R,R,Fastball,Ball,,,0,-1.147101874,0.499229566
2,0,1,1,'1-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yunior Ibarra,Yadian Martinez,R,R,Offspeed,Ball,,,0,-0.0595726,0.882285814
2,0,2,1,'2-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yunior Ibarra,Yadian Martinez,R,R,Fastball,Hit By Pitch,,,0,1.147584895,0.5508776
