Half Inning,Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
Top 1,1,0,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,John Banks,Charlie Hughes,R,R,Fastball,Groundout,Ground Ball,Straightaway,0,0.272729676,0.766696947
Top 1,1,1,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Symington,Charlie Hughes,R,R,Curveball,Called Strike,,,0,-0.501578885,0.276392727
Top 1,1,1,0,1,'0-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Symington,Charlie Hughes,R,R,Curveball,Swinging Strike,,,0,1.29868852,0.123172658
Top 1,1,1,0,2,'0-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Symington,Charlie Hughes,R,R,Fastball,Foul,,,0,0.563095387,0.345341758
Top 1,1,1,0,2,'0-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Symington,Charlie Hughes,R,R,Curveball,Single,Line Drive,Straightaway,0,0.234014248,0.843306981
Top 1,1,1,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,1.15,Ashton Abols,Charlie Hughes,R,R,Fastball,Swinging Strike,,,100,-0.153140033,0.889273001
Top 1,1,1,0,1,'0-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,1.18,Ashton Abols,Charlie Hughes,R,R,Fastball,Foul,,,100,0.156583392,0.383646775
Top 1,1,1,0,2,'0-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,1.21,Ashton Abols,Charlie Hughes,R,R,Fastball,Strikeout Swinging,,,100,-0.404790315,0.835645977
Top 1,1,2,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,1.23,Davis Llewellyn,Charlie Hughes,L,R,Fastball,Ball,,,100,-1.430749159,0.850967984
Top 1,1,2,1,0,'1-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Davis Llewellyn,Charlie Hughes,L,R,Fastball,Single,Line Drive,Straightaway,100,-0.772586882,0.927578019
Top 1,1,2,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Lucas Bateman,Charlie Hughes,R,R,Curveball,Ball,,,110,-0.637082884,1.111442101
Top 1,1,2,1,0,'1-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Lucas Bateman,Charlie Hughes,R,R,Fastball,Swinging Strike,,,110,0.059794822,0.812662967
Top 1,1,2,1,1,'1-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Lucas Bateman,Charlie Hughes,R,R,Fastball,Foul,,,110,0.659883957,0.245748713
Top 1,1,2,1,2,'1-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Lucas Bateman,Charlie Hughes,R,R,Fastball,Single,Ground Ball,Opposite Field,110,0.640526243,0.812662967
Top 1,1,2,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Preston Vieira,Charlie Hughes,R,R,Fastball,Flyout,Fly Ball,Opposite Field,111,0.214656534,0.544527847
Bottom 1,1,0,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Gavin McLean,L,R,Breaking Ball,Called Strike,,,0,-0.579009741,0.215104699
Bottom 1,1,0,0,1,'0-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Gavin McLean,L,R,Fastball,Foul,,,0,-0.753229168,0.30703674
Bottom 1,1,0,0,2,'0-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Gavin McLean,L,R,Breaking Ball,Ball,,,0,-0.695156026,-0.658249692
Bottom 1,1,0,1,2,'1-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Gavin McLean,L,R,Breaking Ball,Ball,,,0,1.39547709,0.827984974
Bottom 1,1,0,2,2,'2-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Gavin McLean,L,R,Fastball,Foul,,,0,-0.249928603,0.192121689
Bottom 1,1,0,2,2,'2-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Gavin McLean,L,R,Offspeed,Groundout,Ground Ball,Pull,0,-0.482221171,0.146155668
Bottom 1,1,1,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Gavin McLean,L,R,Fastball,Called Strike,,,0,-0.114424605,0.429612795
Bottom 1,1,1,0,1,'0-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Gavin McLean,L,R,Breaking Ball,Ball,,,0,-1.411391445,0.215104699
Bottom 1,1,1,1,1,'1-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Gavin McLean,L,R,Offspeed,Ball,,,0,-0.249928603,-0.175606476
Bottom 1,1,1,2,1,'2-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Gavin McLean,L,R,Offspeed,Called Strike,,,0,-0.695156026,0.690086912
Bottom 1,1,1,2,2,'2-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Gavin McLean,L,R,Breaking Ball,Foul,,,0,0.679241671,0.207443696
Bottom 1,1,1,2,2,'2-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Gavin McLean,L,R,Fastball,Strikeout Looking,,,0,-0.056351462,0.153816672
Bottom 1,1,2,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Jaden Leeder,Gavin McLean,R,R,Offspeed,Called Strike,,,0,-0.598367455,0.621137881
Bottom 1,1,2,0,1,'0-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Jaden Leeder,Gavin McLean,R,R,Breaking Ball,Foul,,,0,0.214656534,-0.076013431
Bottom 1,1,2,0,2,'0-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Jaden Leeder,Gavin McLean,R,R,Breaking Ball,Strikeout Swinging,,,0,0.040437108,0.896934005
Top 2,2,0,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Larmer,Charlie Hughes,R,R,Fastball,Called Strike,,,0,0.408233674,0.659442898
Top 2,2,0,0,1,'0-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Larmer,Charlie Hughes,R,R,Curveball,Called Strike,,,0,-0.733871454,0.276392727
Top 2,2,0,0,2,'0-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Larmer,Charlie Hughes,R,R,Curveball,Strikeout Swinging,,,0,0.117867964,0.215104699
Top 2,2,1,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Peter Dineen,Charlie Hughes,R,R,Fastball,Flyout,Fly Ball,Straightaway,0,0.214656534,0.720730926
Top 2,2,2,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Charlie Hughes,R,R,Curveball,Ball,,,0,0.253371962,0.950561029
Top 2,2,2,1,0,'1-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Charlie Hughes,R,R,Fastball,Groundout,Ground Ball,Straightaway,0,0.272729676,0.644120892
Bottom 2,2,0,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Cole Carpenter,Gavin McLean,R,R,Fastball,Ball,,,0,0.582453101,-0.290521528
Bottom 2,2,0,1,0,'1-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Cole Carpenter,Gavin McLean,R,R,Fastball,Ball,,,0,-1.140383448,0.79734096
Bottom 2,2,0,2,0,'2-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Cole Carpenter,Gavin McLean,R,R,Fastball,Foul,,,0,0.253371962,0.184460686
Bottom 2,2,0,2,1,'2-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Cole Carpenter,Gavin McLean,R,R,Offspeed,Flyout,Fly Ball,Opposite Field,0,0.369518246,0.667103902
Bottom 2,2,1,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Flynn Matheson,Gavin McLean,R,R,Breaking Ball,Ball,,,0,-0.656440598,-0.298182531
Bottom 2,2,1,1,0,'1-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Flynn Matheson,Gavin McLean,R,R,Fastball,Double,Line Drive,Pull,0,0.311445104,0.107850651
Bottom 2,2,1,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Nolan Phelan,Gavin McLean,R,R,Fastball,Ball,,,10,0.834103383,-0.198589486
Bottom 2,2,1,1,0,'1-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Nolan Phelan,Gavin McLean,R,R,Offspeed,Foul,,,10,-0.695156026,0.713069922
Bottom 2,2,1,1,1,'1-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Nolan Phelan,Gavin McLean,R,R,Offspeed,Foul,,,10,-0.598367455,0.337680754
Bottom 2,2,1,1,2,'1-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Nolan Phelan,Gavin McLean,R,R,Fastball,Foul,,,10,0.524379959,0.812662967
