Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
1,0,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,John Banks,Ryan Facchini,R,R,Fastball,Groundout,Ground Ball,Straightaway,0,0.234014248,0.421951792
1,1,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Symington,Ryan Facchini,R,R,Slider,Called Strike,,,0,-0.172497747,0.467917813
1,1,0,1,'0-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Symington,Ryan Facchini,R,R,Fastball,Foul,,,0,-0.482221171,0.682425909
1,1,0,2,'0-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Symington,Ryan Facchini,R,R,Slider,Home Run,Fly Ball,Pull,0,-0.191855461,0.559849854
1,1,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Ashton Abols,Ryan Facchini,R,R,Fastball,Ball,,,0,-0.288644031,1.119103104
1,1,1,0,'1-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Ashton Abols,Ryan Facchini,R,R,Cutter,Error,Ground Ball,Pull,0,-0.482221171,0.353002761
1,1,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Davis Llewellyn,Ryan Facchini,L,R,Fastball,Called Strike,,,100,-0.71451374,0.590493868
1,1,0,1,'0-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Davis Llewellyn,Ryan Facchini,L,R,Fastball,Ball,,,100,1.569696516,0.567510857
1,1,1,1,'1-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Davis Llewellyn,Ryan Facchini,L,R,Fastball,Ball,,,100,-1.333960589,0.291714734
1,1,2,1,'2-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Davis Llewellyn,Ryan Facchini,L,R,Fastball,Ball,,,100,-1.392033731,0.858628988
1,1,3,1,'3-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Davis Llewellyn,Ryan Facchini,L,R,Fastball,Foul,,,100,0.214656534,0.720730926
1,1,3,2,'3-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Davis Llewellyn,Ryan Facchini,L,R,Cutter,Single,Line Drive,Straightaway,100,-0.482221171,0.268731723
1,1,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Lucas Bateman,Ryan Facchini,R,R,Cutter,Called Strike,,,110,-0.772586882,0.713069922
1,1,0,1,'0-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Lucas Bateman,Ryan Facchini,R,R,Cutter,Ball,,,110,0.930891953,-0.336487548
1,1,1,1,'1-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Lucas Bateman,Ryan Facchini,R,R,Fastball,Popout,Pop Up,Straightaway,11,-0.230570889,0.667103902
1,2,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Jack Larmer,Ryan Facchini,R,R,Fastball,Groundout,Ground Ball,Straightaway,11,0.427591388,0.429612795
1,0,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Liam Conlin,L,R,Fastball,Called Strike,,,0,0.601810815,0.245748713
1,0,0,1,'0-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Liam Conlin,L,R,Offspeed,Foul,,,0,-0.424148029,-0.175606476
1,0,0,2,'0-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Liam Conlin,L,R,Fastball,Ball,,,0,-1.217814305,0.644120892
1,0,1,2,'1-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Liam Conlin,L,R,Fastball,Ball,,,0,-0.637082884,-0.321165541
1,0,2,2,'2-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Caleb Feuerstake,Liam Conlin,L,R,Fastball,Error,Ground Ball,Pull,0,-0.443505743,0.544527847
1,0,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,1.33,Reid Lunney,Liam Conlin,L,R,Fastball,Ball,,,100,-1.333960589,0.046562624
1,0,1,0,'1-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Liam Conlin,L,R,Fastball,Called Strike,,,100,-0.71451374,0.713069922
1,0,1,1,'1-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Liam Conlin,L,R,Fastball,Ball,,,10,-1.527537729,0.337680754
1,0,2,1,'2-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Reid Lunney,Liam Conlin,L,R,Fastball,Flyout,Fly Ball,Opposite Field,10,-0.598367455,0.268731723
1,1,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Jaden Leeder,Liam Conlin,R,R,Fastball,Foul,,,10,-0.791944596,0.337680754
1,1,0,1,'0-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Jaden Leeder,Liam Conlin,R,R,Breaking Ball,Ball,,,10,0.311445104,-0.267538517
1,1,1,1,'1-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Jaden Leeder,Liam Conlin,R,R,Breaking Ball,Ball,,,1,1.511623374,-0.137301459
1,1,2,1,'2-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Jaden Leeder,Liam Conlin,R,R,Fastball,Single,Line Drive,Opposite Field,1,-0.385432601,-0.2292335
1,1,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,1.07,Cole Carpenter,Liam Conlin,R,R,Breaking Ball,Ball,,,100,-0.501578885,-0.550995644
1,1,1,0,'1-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Cole Carpenter,Liam Conlin,R,R,Fastball,Popout,Pop Up,Opposite Field,100,0.272729676,0.521544837
1,2,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,1.28,Flynn Matheson,Liam Conlin,R,R,Fastball,Called Strike,,,100,-0.71451374,0.820323971
1,2,0,1,'0-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,1.18,Flynn Matheson,Liam Conlin,R,R,Breaking Ball,Called Strike,,,100,0.659883957,-0.060691424
1,2,0,2,'0-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Flynn Matheson,Liam Conlin,R,R,Breaking Ball,Ball,,,100,1.627769659,-0.344148552
1,2,1,2,'1-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Flynn Matheson,Liam Conlin,R,R,Fastball,Foul,,,10,-0.830660024,0.805001964
1,2,1,2,'1-2,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Flynn Matheson,Liam Conlin,R,R,Breaking Ball,Groundout,Ground Ball,Straightaway,10,0.737314813,0.651781895
2,0,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brady Hall,Ryan Facchini,R,R,Cutter,Called Strike,,,0,0.427591388,0.406629785
2,0,0,1,'0-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brady Hall,Ryan Facchini,R,R,Slider,Ball,,,0,-0.346717173,1.073137084
2,0,1,1,'1-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brady Hall,Ryan Facchini,R,R,Cutter,Swinging Strike,,,0,0.272729676,0.743713936
2,0,1,2,'1-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brady Hall,Ryan Facchini,R,R,Fastball,Foul,,,0,1.221257664,0.697747916
2,0,1,2,'1-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brady Hall,Ryan Facchini,R,R,Slider,Ball,,,0,-0.385432601,-0.436080593
2,0,2,2,'2-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brady Hall,Ryan Facchini,R,R,Cutter,Strikeout Swinging,,,0,0.737314813,-0.160284469
2,1,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Peter Dineen,Ryan Facchini,R,R,Fastball,Ball,,,0,-1.00487945,-0.221572497
2,1,1,0,'1-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Peter Dineen,Ryan Facchini,R,R,Fastball,Ball,,,0,-1.062952592,-0.382453569
2,1,2,0,'2-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Peter Dineen,Ryan Facchini,R,R,Cutter,Lineout,Line Drive,Opposite Field,0,0.717957099,0.444934802
2,2,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Ryan Facchini,R,R,Cutter,Ball,,,0,-0.462863457,-0.244555507
2,2,1,0,'1-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Ryan Facchini,R,R,Fastball,Ball,,,0,-1.082310306,-0.305843534
2,2,2,0,'2-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Ryan Facchini,R,R,Fastball,Ball,,,0,-1.450106873,0.100189648
2,2,3,0,'3-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Ryan Facchini,R,R,Cutter,Called Strike,,,0,-0.637082884,0.644120892
2,2,3,1,'3-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Ryan Facchini,R,R,Cutter,Swinging Strike,,,0,-0.366074887,0.429612795
2,2,3,2,'3-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Ryan Facchini,R,R,Cutter,Foul,,,0,0.369518246,-0.160284469
2,2,3,2,'3-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Ryan Facchini,R,R,Fastball,Foul,,,0,-0.211213175,0.337680754
2,2,3,2,'3-2,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,Brendan Boys,Ryan Facchini,R,R,Slider,Walk,,,0,-0.598367455,-0.290521528
2,2,0,0,'0-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,1.21,John Banks,Ryan Facchini,R,R,Fastball,Ball,,,100,0.679241671,1.226357153
2,2,1,0,'1-0,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,John Banks,Ryan Facchini,R,R,Fastball,Swinging Strike,,,10,0.524379959,0.850967984
2,2,1,1,'1-1,2025-09-05,Wilfrid Laurier Golden Hawks,Brock Badgers,,John Banks,Ryan Facchini,R,R,Fastball,Popout,Pop Up,Opposite Field,10,-0.269286317,0.621137881
2,0,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Nolan Phelan,Liam Conlin,R,R,Breaking Ball,Swinging Strike,,,0,0.234014248,0.299375737
2,0,0,1,'0-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Nolan Phelan,Liam Conlin,R,R,Breaking Ball,Ball,,,0,0.311445104,-0.382453569
2,0,1,1,'1-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Nolan Phelan,Liam Conlin,R,R,Breaking Ball,Single,Line Drive,Pull,0,-0.211213175,0.667103902
2,0,0,0,'0-0,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,1.32,Gavin Taylor,Liam Conlin,R,R,Fastball,Foul,,,100,-0.637082884,0.820323971
2,0,0,1,'0-1,2025-09-05,Brock Badgers,Wilfrid Laurier Golden Hawks,,Gavin Taylor,Liam Conlin,R,R,Fastball,Ball,,,100,-1.488822301,-0.25221651
